tweet,keyword,date,user,source,tweet_id,url
"@ProudResister I am still for Warren. Sorry, I don’t trust Bernie to achieve anything and worried about funding from Russia.",warren,2020-02-16 16:20:43,SchwaigerSusan,Twitter for iPad,1229078162425778177,https://twitter.com/statuses/1229078162425778177
@GOP Look carefully at my response to the criminal backing GOPs  efforts to damage Amy Klobuchar,klobuchar,2020-02-16 16:20:43,comeliajohnson,Twitter Web App,1229078162870390784,https://twitter.com/statuses/1229078162870390784
Watch Pete Buttigieg Defend Bernie Sanders and Socialism...In the Past  via @pastemagazine,"sanders, buttigieg",2020-02-16 16:20:44,pitch4kdemocrat,Twitter Web Client,1229078164648779776,https://twitter.com/statuses/1229078164648779776
Video: New York Activists Ambush Joe Biden With Coffin After His Fundraiser Event:  via @SputnikInt,biden,2020-02-16 16:20:44,ErnestRauthsch1,Twitter Web Client,1229078166137782273,https://twitter.com/statuses/1229078166137782273
"Bloombergs resurfacing brought up a few #stopandfrisk  memories that I forgot I had during that era. DTs roll up, surround us and violate...bc we were BLACK.

Nothing else. 
They found nothing.
We were not guilty of anything. 
We feel a way about NYPD.",bloomberg,2020-02-16 16:20:44,myview__myvoice,Twitter for Android,1229078167371034624,https://twitter.com/statuses/1229078167371034624
"Stop and Frisk does not work & is still practiced. 

Racist policing cannot continue in this country. 

While my opponent Gregory Meeks can overlook mass incarceration & support Bloomberg— I believe we need to decarcerate, demilitarize the police, & decriminalize poverty.",bloomberg,2020-02-16 16:20:45,Shaniyat2020,Twitter for iPhone,1229078169518583809,https://twitter.com/statuses/1229078169518583809
"The Biden supporters will understand the personal connection he makes with people.

The Biden detractors will call him out for not having a flag pin on his lapel.

Politics in 2020. 

@JoeBiden for President!",biden,2020-02-16 16:20:45,Keep2020Alive,Twitter Web App,1229078170252566529,https://twitter.com/statuses/1229078170252566529
"Crooked Joe doubles down on his lies.

WATCH: Ramos Grills Biden For Lying About His Record, Biden Snaps",biden,2020-02-16 16:20:45,123RHGreen,Twitter for iPad,1229078170663559169,https://twitter.com/statuses/1229078170663559169
"Bloomberg is literally a republican. 
Biden is a creep. 
Buttigeig wants to send your kids to war. 
Klobuchar has ruined lives in her role as prosecutor. 

But nah. Bernies the one you dislike.","biden, klobuchar, bloomberg",2020-02-16 16:20:45,BenedictL_,Twitter for Android,1229078170709766144,https://twitter.com/statuses/1229078170709766144
"@IlhanMN All of this ""admiration"" will evaporate when people who see how his #Socialist plans get rid of their Union Healthcare plans, pensions and federalize pretty much everything.
Hypocrite Sanders owns 3 homes, is a millionaire despite being a govt ""servant"" for decades",sanders,2020-02-16 16:20:46,W_Jamie,Twitter for Android,1229078174174195714,https://twitter.com/statuses/1229078174174195714
